date,Qi_past,Qdiv_past,V_sqd,Qi_sqd,Qo_sqd,V_sau,Qi_sau,Qo_sau,Qin_calc_sau,Qout_calc_sau,Qin_calc_sqd,Qout_calc_sqd,T_Gola,P_Gola,E_Gola,T_Pasteral,P_Pasteral,E_Pasteral,T_Susqueda,P_Susqueda,E_Susqueda,T_Sau,P_Sau,E_Sau,T_Ripoll,P_Ripoll,E_Ripoll,Q_Gola,Q_Pasteral,Q_Susqueda,Q_Sau,Q_Ripoll
2015-04-11,10.4548611111111,4.4348611111111,228.615,15.7326388888888,10.4548611111111,146.798,9.75925925925925,13,10.0138888888888,13,15.5821759259261,10.4548611111111,11.4575000375,0,2.93672081504537,11.4575000375,0,2.93672081504537,6.88758349166667,2,2.30968434244957,6.88758349166667,2,2.30968434244957,6.88758349166667,2,2.30968434244957,11.26,6.02,15.5821759259261,10.0138888888888,9.871383826
2015-04-12,10.1215277777778,4.1315277777778,227.768,0.31828703703694,10.1215277777778,147.696,10.3935185185185,0,10.3935185185185,0,0.318287037036962,10.1215277777778,12.9783334041667,0,3.45953168068203,12.9783334041667,0,3.45953168068203,8.05216680416667,0.6,2.89236099779679,8.05216680416667,0.6,2.89236099779679,8.05216680416667,0.6,2.89236099779679,10.22,5.99,0.318287037036962,10.3935185185185,9.65147173
2015-04-13,9.35069444444444,3.37069444444444,226.857,0,9.35069444444444,148.542,10.4513888888888,0,9.79166666666671,0,2.19270833333329,12.7366898148148,13.4366668083333,0,3.86250993544811,13.4366668083333,0,3.86250993544811,9.50425004583333,0,3.04145034454564,9.50425004583333,0,3.04145034454564,9.50425004583333,0,3.04145034454564,9.75,5.98,2.19270833333329,9.79166666666671,9.417632376
2015-04-14,11.4398148148148,3.7898148148148,226.22,0.6,11.4398148148148,149.449,9.8379629629629,0,10.4976851851853,0,4.06712962962961,11.4398148148148,14.21375025,0,4.12917496165466,14.21375025,0,4.12917496165466,10.9479999916667,0,3.36978222888823,10.9479999916667,0,3.36978222888823,10.9479999916667,0,3.36978222888823,9.54,7.65,4.06712962962961,10.4976851851853,9.493346014
2015-04-15,13.4456018518519,3.6956018518519,225.56,5.806712962963,13.4456018518519,149.766,9.09375000000027,5.806712962963,9.47569444444424,5.806712962963,5.80671296296305,13.4456018518519,13.8825002166667,0,3.58649605010513,13.8825002166667,0,3.58649605010513,10.8125834375,0,3.26815776252143,10.8125834375,0,3.26815776252143,10.8125834375,0,3.26815776252143,14.37,9.75,5.80671296296305,9.47569444444424,9.789441868
2015-04-16,14.3275462962963,4.9875462962963,225.56206538,18,14.3275462962963,147.922,11,15,11.8038194444443,33.1464120370368,14.3514511574075,14.3275462962963,13.7908336041667,9.6,2.94321803939412,13.7908336041667,9.6,2.94321803939412,9.05841682083333,7.4,2.13047073074988,9.05841682083333,7.4,2.13047073074988,9.05841682083333,7.4,2.13047073074988,13.68,9.34,14.3514511574075,11.8038194444443,10.860465195
2015-04-17,15.5590277777778,4.7090277777778,227.311,25,15.5590277777778,147.415,16.7476851851851,20,14.1319444444444,20,35.8013266203704,15.5590277777778,13.5241667208333,0.2,3.36338198231271,13.5241667208333,0.2,3.36338198231271,8.07300014583333,6.4,2.28624127481249,8.07300014583333,6.4,2.28624127481249,8.07300014583333,6.4,2.28624127481249,13.49,10.85,35.8013266203704,14.1319444444444,11.938244162
2015-04-18,15.4409722222222,3.2209722222222,227.898,25.9965277777779,15.4409722222222,146.854,14.8171296296297,23,16.5069444444447,23,22.2349537037036,15.4409722222222,14.209583375,0,3.65570968721445,14.209583375,0,3.65570968721445,9.15216670416667,0.4,3.10480675174018,9.15216670416667,0.4,3.10480675174018,9.15216670416667,0.4,3.10480675174018,16.66,12.22,22.2349537037036,16.5069444444447,11.609683437
2015-04-19,13.3773148148148,1.2073148148148,227.774,8.85185185185163,13.3773148148148,146.91,11.8379629629629,8.85185185185163,9.49999999999958,8.85185185185163,11.9421296296297,13.3773148148148,12.42833325,10.4,2.85850119894103,12.42833325,10.4,2.85850119894103,6.11466689583333,14.9,1.61554185877254,6.11466689583333,14.9,1.61554185877254,6.11466689583333,14.9,1.61554185877254,20.85,12.17,11.9421296296297,9.49999999999958,11.909045152
2015-04-20,13.7025462962963,1.5125462962963,226.226,0,13.7025462962963,148.096,14.3287037037034,0,13.7268518518519,0,12.2268518518519,30.1435185185186,12.2345834583333,4.9,3.04594412232114,12.2345834583333,4.9,3.04594412232114,6.64800005416667,5.6,2.39663739716366,6.64800005416667,5.6,2.39663739716366,6.64800005416667,5.6,2.39663739716366,19.72,12.19,12.2268518518519,13.7268518518519,13.522336709
2015-04-21,14.6990740740741,2.4690740740741,226.037,13.2407407407407,14.6990740740741,148.429,11.4560185185186,9.5,13.3541666666666,9.5,12.5115740740742,14.6990740740741,14.3095837166667,0,4.01325917889365,14.3095837166667,0,4.01325917889365,9.03550021666667,0,3.32388096862246,9.03550021666667,0,3.32388096862246,9.03550021666667,0,3.32388096862246,18.54,12.23,12.5115740740742,13.3541666666666,11.594559088
2015-04-22,13.8726851851852,1.6526851851852,226.226,14.6018518518517,13.8726851851852,148.147,9.64398148148135,11.6,8.33611111111099,11.6,16.0601851851851,13.8726851851852,13.0845833333333,0.5,3.11743518108535,13.0845833333333,0.5,3.11743518108535,8.960500025,0.2,2.90809621881102,8.960500025,0.2,2.90809621881102,8.960500025,0.2,2.90809621881102,18.02,12.22,16.0601851851851,8.33611111111099,10.943417048
2015-04-23,14.7604166666667,2.4704166666667,227.1107,25,14.7604166666667,147.471,9.57175925925947,20,12.1759259259261,20,25.0000000000001,14.7604166666667,13.5637503708333,0.2,3.73829072458876,13.5637503708333,0.2,3.73829072458876,8.01675002916667,9.5,2.80511973245332,8.01675002916667,9.5,2.80511973245332,8.01675002916667,9.5,2.80511973245332,16.7,12.29,25.0000000000001,12.1759259259261,10.334328861
2015-04-24,15.4513888888889,3.1113888888889,227.311,22.1180555555555,15.4513888888889,146.238,9.31018518518529,21,6.72916666666662,21,17.7696759259259,15.4513888888889,14.8408337083333,0,4.10311998828415,14.8408337083333,0,4.10311998828415,10.4021667166667,0,3.62656201043579,10.4021667166667,0,3.62656201043579,10.4021667166667,0,3.62656201043579,17.04,12.34,17.7696759259259,6.72916666666662,11.503000849
2015-04-25,14.1458333333333,1.8058333333333,227.376,14.8981481481481,14.1458333333333,146.015,9.91898148148133,12.5,9.91898148148133,12.5,14.8981481481481,14.1458333333333,15.9637502708333,0.6,3.09523996300527,15.9637502708333,0.6,3.09523996300527,11.4980002083333,3.8,2.40553949170046,11.4980002083333,3.8,2.40553949170046,11.4980002083333,3.8,2.40553949170046,15.49,12.34,14.8981481481481,9.91898148148133,10.896644322
2015-04-26,13.3668981481482,1.0468981481482,226.163,0,13.3668981481482,146.91,10.3587962962961,0,10.3587962962964,0,10.3900462962962,24.429398148148,14.7700000833333,2.1,2.82767388567484,14.7700000833333,2.1,2.82767388567484,10.0459168541667,1.7,2.47226694497808,10.0459168541667,1.7,2.47226694497808,10.0459168541667,1.7,2.47226694497808,15.54,12.32,10.3900462962962,10.3587962962964,11.932188614
2015-04-27,14.2546296296296,1.9046296296296,224.775,1.5,14.2546296296296,147.64,9.74907407407429,1.3,9.74907407407396,1.3,5.88194444444427,21.9467592592591,12.5554165833333,15.3,2.44058097691704,12.5554165833333,15.3,2.44058097691704,6.51050012083333,6.2,1.73848725898132,6.51050012083333,6.2,1.73848725898132,6.51050012083333,6.2,1.73848725898132,17.59,12.35,5.88194444444427,9.74907407407396,13.323918561
2015-04-28,16.7094907407407,4.2694907407407,223.45,2.54,16.7094907407407,148.452,11.6835185185184,2.54,11.9381481481483,2.54,1.37384259259236,16.7094907407407,12.8429168125,0.7,3.10707293827627,12.8429168125,0.7,3.10707293827627,5.80216666041667,0,2.63021851776491,5.80216666041667,0,2.63021851776491,5.80216666041667,0,2.63021851776491,16.49,12.44,1.37384259259236,11.9381481481483,11.638251611
2015-04-29,17.3414351851852,6.1114351851852,223.891,25.3738425925928,17.3414351851852,147.64,12.9780092592595,25.3738425925928,15.9756944444445,25.3738425925928,22.4456018518519,17.3414351851852,12.52416675,1.8,3.35023394688986,12.52416675,1.8,3.35023394688986,5.65425004166667,3.3,2.52732606746985,5.65425004166667,3.3,2.52732606746985,5.65425004166667,3.3,2.52732606746985,15.44,11.23,22.4456018518519,15.9756944444445,11.014352025
2015-04-30,15.2141203703704,5.3941203703704,224.901,27.6331018518516,15.2141203703704,146.685,12.6064814814815,23,11.9467592592594,23,26.9039351851854,15.2141203703704,13.834583425,0,3.9151445879568,13.834583425,0,3.9151445879568,8.81883341666667,0,3.33457500033869,8.81883341666667,0,3.33457500033869,8.81883341666667,0,3.33457500033869,14.37,9.82,26.9039351851854,11.9467592592594,10.78930637
2015-05-01,13.820297364,3.900297364,224.775,12.3619640306666,13.820297364,147.078,14.5486111111111,10,14.5486111111111,10,12.3619640306666,13.820297364,16.9220836458333,0,4.16993156418606,16.9220836458333,0,4.16993156418606,10.7000834708333,3.9,2.85454216791451,10.7000834708333,3.9,2.85454216791451,10.7000834708333,3.9,2.85454216791451,13.6194,9.92,12.3619640306666,14.5486111111111,10.232039834
2015-05-02,13.564809158,3.664809158,223.26,0,13.564809158,148.034,11.064814814815,0,11.0648148148147,0,8.54999003229624,26.0847122545186,18.4262504166667,0,4.3028120576201,18.4262504166667,0,4.3028120576201,13.4521666666667,0.1,3.75611647860246,13.4521666666667,0.1,3.75611647860246,13.4521666666667,0.1,3.75611647860246,12.7919,9.9,8.54999003229624,11.0648148148147,10.475911094
2015-05-03,13.499590108,3.579590108,222.503,4.7380160339262,13.499590108,148.655,11.925516033926,4.7380160339262,11.9255160339263,4.7380160339262,4.73801603392587,13.499590108,20.3366669166667,0,4.86310151674048,20.3366669166667,0,4.86310151674048,15.2625833333333,0.7,3.79708713679254,15.2625833333333,0.7,3.79708713679254,15.2625833333333,0.7,3.79708713679254,12.6988,9.92,4.73801603392587,11.9255160339263,11.735161463
2015-05-04,14.021139813,4.071139813,221.216,0.0049361092962954,14.021139813,149.505,10.8379629629629,1,10.8379629629629,1,12.2679818689259,27.163815202259,19.122083625,0,4.28797531818726,19.122083625,0,4.28797531818726,15.4625829583333,0.2,3.65470839996416,15.4625829583333,0.2,3.65470839996416,15.4625829583333,0.2,3.65470839996416,12.0688,9.95,12.2679818689259,10.8379629629629,13.252366781
2015-05-05,15.122021778,5.152021778,221.62,19.7979477039259,15.122021778,149.307,17.4083333333336,19.7,17.4083333333332,19.7,19.7979477039259,15.122021778,18.9304168333333,0,4.65454634829012,18.9304168333333,0,4.65454634829012,14.0667499583333,0.7,3.03889412869178,14.0667499583333,0.7,3.03889412869178,14.0667499583333,0.7,3.03889412869178,12.3729,9.97,19.7979477039259,17.4083333333332,13.689940542
2015-05-06,15.264553464,5.224553464,221.052,8.69047938992612,15.264553464,149.619,12.301590501037,8.69047938992612,12.3015905010374,8.69047938992612,8.69047938992579,15.264553464,17.084583625,0.2,4.25914639803775,17.084583625,0.2,4.25914639803775,10.4959168291667,0.4,3.36828582492759,10.4959168291667,0.4,3.36828582492759,10.4959168291667,0.4,3.36828582492759,11.8316,10.04,8.69047938992579,12.3015905010374,12.622869823
2015-05-07,14.835601303,4.835601303,222.188,27.9837494511481,14.835601303,148.373,13.562453154852,27.9837494511481,13.5624531548517,27.9837494511481,27.9837494511481,14.835601303,15.782500125,0,4.24491439129584,15.782500125,0,4.24491439129584,11.3771666208333,0,4.14107042576045,11.3771666208333,0,4.14107042576045,11.3771666208333,0,4.14107042576045,10.59,10,27.9837494511481,13.5624531548517,11.560353975
2015-05-08,15.075846593,5.105846593,221.62,8.50177251892579,15.075846593,148.768,13.0735317781848,8.50177251892579,13.0735317781852,8.50177251892579,8.50177251892611,15.075846593,17.3408337083333,2,4.76524688384335,17.3408337083333,2,4.76524688384335,11.88758325,6.3,3.33885377668219,11.88758325,6.3,3.33885377668219,11.88758325,6.3,3.33885377668219,11.32,9.97,8.50177251892611,13.0735317781852,10.834447667
2015-05-09,14.511196133,4.481196133,221.304,10.8537887255926,14.511196133,148.82,11.4556405774443,10.8537887255926,11.4556405774444,10.8537887255926,10.8537887255926,14.511196133,18.2179168958333,0,4.83314183832174,18.2179168958333,0,4.83314183832174,12.2417499833333,0,3.9164457814434,12.2417499833333,0,3.9164457814434,12.2417499833333,0,3.9164457814434,10.6091,10.03,10.8537887255926,11.4556405774444,10.459256854
2015-05-10,14.2210648148148,4.2410648148148,221.052,11.3043981481484,14.2210648148148,148.712,10.7500000000003,12,10.75,12,11.304398148148,14.2210648148148,18.7179168958333,0,5.1538521836225,18.7179168958333,0,5.1538521836225,14.46049975,0,4.4956827728203,14.46049975,0,4.4956827728203,14.46049975,0,4.4956827728203,9.897,9.98,11.304398148148,10.75,9.855981156
2015-05-11,14.6273148148148,5.1173148148148,219.878,1.03935185185178,14.6273148148148,149.562,9.8379629629629,0,9.83796296296323,0,1.03935185185176,14.6273148148148,18.5700003125,0,5.13780262275545,18.5700003125,0,5.13780262275545,14.9938333333333,0,4.29854603115702,14.9938333333333,0,4.29854603115702,14.9938333333333,0,4.29854603115702,10.3383,9.51,1.03935185185176,9.83796296296323,9.431390899
2015-05-12,14.4398148148148,6.1798148148148,219.2,6.5925925925923,14.4398148148148,149.85,9.92592592592543,6.5925925925923,9.92592592592543,6.5925925925923,6.59259259259261,14.4398148148148,17.7304170833333,0,4.7860593706108,17.7304170833333,0,4.7860593706108,15.9542497916667,0,4.23241385179382,15.9542497916667,0,4.23241385179382,15.9542497916667,0,4.23241385179382,8.6318,8.26,6.59259259259261,9.92592592592543,9.181666882
2015-05-13,13.847462708,5.657462708,218.902,10.3983886339262,13.847462708,149.66,9.05092592592595,11.25,9.05092592592595,11.25,10.3983886339259,13.847462708,19.5450003958333,0,5.04016319587641,19.5450003958333,0,5.04016319587641,17.379249625,2.2,4.70328683064687,17.379249625,2.2,4.70328683064687,17.379249625,2.2,4.70328683064687,6.3135,8.19,10.3983886339259,9.05092592592595,8.955127075
2015-05-14,13.715452333,5.555452333,219.024,15.1274893700369,13.715452333,149.086,8.48397085151854,15.1274893700369,8.48397085151857,15.1274893700369,15.1274893700372,13.715452333,20.75541725,0,5.57706327947585,20.75541725,0,5.57706327947585,15.1813332083333,4.3,4.69017829013461,15.1813332083333,4.3,4.69017829013461,15.1813332083333,4.3,4.69017829013461,6.2304,8.16,15.1274893700372,8.48397085151857,8.738814753
2015-05-15,13.68801155,5.54801155,218.78,10.8639374759259,13.68801155,148.853,8.16717821666662,10.8639374759259,8.16717821666659,10.8639374759259,10.8639374759259,13.68801155,14.5137499791667,14.8,3.06743845763426,14.5137499791667,14.8,3.06743845763426,6.52925014166667,2.2,2.09304291427993,6.52925014166667,2.2,2.09304291427993,6.52925014166667,2.2,2.09304291427993,4.239951389,8.14,10.8639374759259,8.16717821666659,8.7527381
2015-05-16,13.03061341,4.89061341,218.78,13.03061341,13.03061341,148.373,7.47505785444456,13.03061341,7.47505785444423,13.03061341,13.03061341,13.03061341,16.9720835833333,0,5.11025161802912,16.9720835833333,0,5.11025161802912,8.15425008333333,0,3.10347566002916,8.15425008333333,0,3.10347566002916,8.15425008333333,0,3.10347566002916,5.6608,8.14,13.03061341,7.47505785444423,8.554922541
2015-05-17,12.514962615,4.324962615,218.658,11.1029255779631,12.514962615,148.147,8.4871848372224,11.1029255779631,8.48718483722237,11.1029255779631,11.1029255779628,12.514962615,17.2762501875,0,4.57852416159638,17.2762501875,0,4.57852416159638,11.2667499666667,0,3.78474030054283,11.2667499666667,0,3.78474030054283,11.2667499666667,0,3.78474030054283,5.7734,8.19,11.1029255779628,8.48718483722237,8.47031394
2015-05-18,12.890074603,4.720074603,218.231,7.94794497337046,12.890074603,148.091,7.29979682522218,7.94794497337046,7.29979682522251,7.94794497337046,7.94794497337046,12.890074603,17.7054171666667,0,4.89518461401804,17.7054171666667,0,4.89518461401804,12.654249925,0.2,4.16389948642164,12.654249925,0.2,4.16389948642164,12.654249925,0.2,4.16389948642164,5.4754,8.17,7.94794497337046,7.29979682522251,8.226132033
2015-05-19,14.059676708,5.959676708,219.268,26.0619915228146,14.059676708,146.685,9.78884337466634,26.0619915228146,9.78884337466638,26.0619915228146,26.0619915228149,14.059676708,13.817916625,11.8,3.04880873950325,13.817916625,11.8,3.04880873950325,7.1730002,17.1,2.49893700390971,7.1730002,17.1,2.49893700390971,7.1730002,17.1,2.49893700390971,4.7952,8.1,26.0619915228149,9.78884337466638,8.807996737
2015-05-20,13.604623449,5.874623449,218.841,8.66249381937046,13.604623449,147.022,12.5629567823336,8.66249381937046,12.5629567823333,8.66249381937046,8.66249381937046,13.604623449,11.4991665416667,13.1,2.4941719290386,11.4991665416667,13.1,2.4941719290386,5.385500075,0.7,2.27659557562452,5.385500075,0.7,2.27659557562452,5.385500075,0.7,2.27659557562452,9.4729,7.73,8.66249381937046,12.5629567823333,10.52867021
2015-05-21,13.332228038,5.912228038,218.536,9.80213544540733,13.332228038,147.28,12.7882465565182,9.80213544540733,12.7882465565186,9.80213544540733,9.80213544540733,13.332228038,12.4637500416667,5.9,3.56265036397778,12.4637500416667,5.9,3.56265036397778,5.6188334125,0,2.64181819805978,5.6188334125,0,2.64181819805978,5.6188334125,0,2.64181819805978,8.3097,7.42,9.80213544540733,12.7882465565186,8.542497441
2015-05-22,12.719621146,5.799621146,218.719,14.8376767015558,12.719621146,147.016,11.7821211460005,14.8376767015558,11.7821211460001,14.8376767015558,14.8376767015555,12.719621146,13.9700003958333,0.1,4.20635520742253,13.9700003958333,0.1,4.20635520742253,6.94175014583333,0,2.94687777674127,6.94175014583333,0,2.94687777674127,6.94175014583333,0,2.94687777674127,5.7891,6.92,14.8376767015555,11.7821211460001,8.245994377
2015-05-23,12.099537037037,5.299537037037,219.024,15.6296296296294,12.099537037037,146.573,10.5023148148144,15.6296296296294,10.5023148148148,15.6296296296294,15.6296296296297,12.099537037037,15.2137499375,0,4.45322064078169,15.2137499375,0,4.45322064078169,8.4730001625,0,2.88171776131047,8.4730001625,0,2.88171776131047,8.4730001625,0,2.88171776131047,4.7576,6.8,15.6296296296297,10.5023148148148,8.004102203
2015-05-24,11.5694444444444,4.7394444444444,217.926,3,11.5694444444444,147.078,8.84490740740736,3,8.84490740740736,3,14.8911099684198,27.5994433017533,16.17000025,0,4.33661777067016,16.17000025,0,4.33661777067016,10.1855002208333,0,3.05178699339551,10.1855002208333,0,3.05178699339551,10.1855002208333,0,3.05178699339551,4.0398,6.83,14.8911099684198,8.84490740740736,7.770912233
2015-05-25,11.743905371,3.713905371,216.889,0,11.743905371,147.8,8.35648148148158,0,8.35648148148158,0,14.1525903072099,26.1549051220244,16.8533334375,0,4.74866213223172,16.8533334375,0,4.74866213223172,10.7980001458333,0,3.28960301306306,10.7980001458333,0,3.28960301306306,10.7980001458333,0,3.28960301306306,3.5573,8.03,14.1525903072099,8.35648148148158,7.443078288
